Species,Q_Score,Num_Communities
Addax,0.34401453087984807,4
Agouti1,0.20973317660637358,4
Agouti2,0.1993954199422906,3
Armadillo,0.19316728614007034,3
ArtibeusJamacien,0.2212543585005771,5
Asellia,0.2964214485201255,4
AsianOtter,0.2533902806705187,4
Baboon1,0.26887485577881637,3
Baboon2,0.2727897070862239,3
Baboon3,0.2874421319872409,3
Baboon4,0.2904414920408186,4
Baboon5,0.29713701554725297,4
BactrianDeer1,0.2921144783761217,3
BactrianDeer2,0.3331000651820096,3
Battongia1,0.20449372989466796,2
Battongia2,0.21975021866418826,2
BlanfordFox,0.2315471993263596,4
BlindMole1,0.20399901120017913,5
BlindMole2,0.2136731274968847,4
BottleNoseDolphin,0.3280282886283976,4
BrownLemur1,0.23518034980594837,4
BrownLemur2,0.2675106855987327,4
BrownLemur3,0.22432627004978875,4
CapraNubiana1,0.34773167672087263,4
CapraNubiana2,0.3271280033166106,4
CapraNubiana3,0.2805841612646445,5
CapraNubiana4,0.32955066305813197,4
Capuchin1,0.2682308457711443,4
Capuchin2,0.2582129554563179,4
Capuchin3,0.25299646022166206,5
Capybara,0.24085412865994388,4
Caracal,0.31179746073281966,4
CarolliaPerspicilatta1,0.2892767986275,3
CarolliaPerspicilatta2,0.29862079344071835,3
Cat1,0.3029749938246448,3
Cat2,0.2613147268929237,4
Cat3,0.28506607608536416,5
Cat4,0.25401645790093386,3
Cat5,0.2334646687483,3
Cat6,0.3220209402298543,3
CaucasianSquirrel,0.26627292186775053,2
ChaerephonPlicata,0.32617511111111114,4
Chimpanzee,0.2745215753902795,3
Chinchila,0.17843848595757217,3
Chital1,0.3150102161521296,2
Chital2,0.2970983602790276,4
Colobus2,0.3011308794224273,3
CommonFox,0.27877147857151835,2
CommonHedgeHog1,0.31307717244141037,4
CommonHedgeHog2,0.19037850417867477,3
CommonHedgeHog3,0.17650946497813047,4
CommonTreeShrew,0.26240155151433203,4
Cow1,0.33180827911830074,5
Coypu,0.18088711915992778,4
Cynopterus,0.4265969718314142,5
Deer1,0.25759507933529324,4
Deer2,0.2895726170025683,3
Dego,0.24404495083672553,3
DikDik,0.26408374779197924,5
Dog1,0.3308324465866784,3
Dog2,0.3035983431077411,3
Dog3,0.3459397234849111,4
Dog4,0.29228273602849586,4
Dog5,0.23481235134521375,4
Dog6,0.3059995169436502,3
Dog7,0.3356418469179426,4
Donkey,0.25812733821830053,4
Eonycteris1,0.25735318561277604,3
Eonycteris2,0.2901420321424501,3
Eptesicus1,0.2801722824281454,3
Eptesicus2,0.2832889908722674,3
FallowDeer1,0.3202099825498647,4
FallowDeer2,0.27520173158500827,5
FallowDeer3,0.322155992312746,4
FennekFox,0.20352260504599157,4
Ferret1,0.2849222117374062,4
Ferret2,0.2753856239372849,3
Ferret3,0.27733147670729624,3
Ferret4,0.2841251437994287,4
FruitBat1,0.2815540238320162,4
FruitBat2,0.25954531777847845,3
FruitBat3,0.22564693493891574,4
FruitBat4,0.30677111349644837,5
FruitBat5,0.3159037799465837,4
Gerbil,0.19981145930658317,4
Giraffe1,0.31510343230821425,4
Giraffe2,0.38316533188394614,4
Giraffe3,0.37957862447942375,4
Goat1,0.32801689237163745,4
Goat2,0.309398690855189,4
Goat3,0.31902473230467726,5
GoldenSpinyMouse,0.19607111875746677,3
Gorilla,0.3163347543147168,3
GrayKangaroo1,0.26137930683631555,2
GrayKangaroo3,0.21776833285153213,3
GreenMonkey1,0.2706312161690454,3
GreenMonkey2,0.33290790883812305,3
Hare,0.22747313567205144,3
HimalianBear,0.3776201029429426,4
HippArmiger,0.2900166662786417,4
HoneyBadger,0.30075527911335864,4
Horse1,0.29572244181902907,3
Horse2,0.31389778082129277,3
HowlerMonkey1,0.29126911383566595,3
HowlerMonkey2,0.23493375446764894,4
Hyaena1,0.2883436918225453,3
Hyaena2,0.2892077188748916,3
Hyrax1,0.20265439975407484,4
Hyrax2,0.2092474795086262,4
