Species,Q_Score,Num_Communities
Addax,0.34401453087984807,4.0
Agouti,0.2045642982743321,3.5
Armadillo,0.19316728614007034,3.0
ArtibeusJamacien,0.2212543585005771,5.0
Asellia,0.2964214485201255,4.0
AsianOtter,0.2533902806705187,4.0
Baboon,0.2833370404880705,3.4
BactrianDeer,0.31260727177906567,3.0
Battongia,0.2121219742794281,2.0
BlanfordFox,0.2315471993263596,4.0
BlindMole,0.2088360693485319,4.5
BottleNoseDolphin,0.3280282886283976,4.0
BrownLemur,0.24233910181815663,4.0
CapraNubiana,0.32124862609006494,4.25
Capuchin,0.2598134204830414,4.333333333333333
Capybara,0.24085412865994388,4.0
Caracal,0.31179746073281966,4.0
CarolliaPerspicilatta,0.29394879603410917,3.0
Cat,0.2764763106136701,3.5
CaucasianSquirrel,0.26627292186775053,2.0
ChaerephonPlicata,0.32617511111111114,4.0
Chimpanzee,0.2745215753902795,3.0
Chinchila,0.17843848595757217,3.0
Chital,0.30605428821557856,3.0
Colobus,0.3011308794224273,3.0
CommonFox,0.27877147857151835,2.0
CommonHedgeHog,0.2266550471994052,3.6666666666666665
CommonTreeShrew,0.26240155151433203,4.0
Cow,0.33180827911830074,5.0
Coypu,0.18088711915992778,4.0
Cynopterus,0.4265969718314142,5.0
Deer,0.2735838481689308,3.5
Dego,0.24404495083672553,3.0
DikDik,0.26408374779197924,5.0
Dog,0.3070152806306619,3.5714285714285716
Donkey,0.25812733821830053,4.0
Eonycteris,0.27374760887761307,3.0
Eptesicus,0.28173063665020637,3.0
FallowDeer,0.30585590214920627,4.333333333333333
FennekFox,0.20352260504599157,4.0
Ferret,0.28044111404535405,3.5
FruitBat,0.2778842339984885,4.0
Gerbil,0.19981145930658317,4.0
Giraffe,0.359282462890528,4.0
Goat,0.31881343851050126,4.333333333333333
GoldenSpinyMouse,0.19607111875746677,3.0
Gorilla,0.3163347543147168,3.0
GrayKangaroo,0.23957381984392384,2.5
GreenMonkey,0.3017695625035842,3.0
Hare,0.22747313567205144,3.0
HimalianBear,0.3776201029429426,4.0
HippArmiger,0.2900166662786417,4.0
HoneyBadger,0.30075527911335864,4.0
Horse,0.3048101113201609,3.0
HowlerMonkey,0.26310143415165743,3.5
Hyaena,0.28877570534871844,3.0
Hyrax,0.20595093963135053,4.0
IndHogDeer,0.24069413648415727,4.0
JungleCat,0.3360852844628969,3.0
Koala,0.26471818660065743,4.0
Lama,0.27295235628277015,4.0
LemurCatta,0.2618830804249124,4.0
Leopard,0.2944482584397496,4.0
Lycaon,0.28126362137091915,3.6666666666666665
Macaque,0.244556583593329,3.625
MacaqueBlack,0.2785720611129983,4.0
MacaqueLionTail,0.3395532755072738,3.0
MacaquePT,0.2197864704443843,4.0
Mandrill,0.2830503782616597,4.0
Mangebi,0.24573225700981152,3.0
Mara,0.28976490102197167,4.0
Marmoset,0.15292472020032896,4.0
Meerkat,0.22698631577172085,3.6
Merion,0.22085919341097807,4.0
MiniopterusSchreibersii,0.3215051137143525,3.0
Mongoose,0.2476551082625831,3.0
Mouse,0.24458179763430873,4.0
MyotisEmargenitus,0.2551774421184831,7.0
MyotisMyotis,0.22457822857966864,3.0
MyotisVivesi,0.23177078217495917,4.0
Nasua,0.2691385604375302,4.333333333333333
Onager,0.2540834976539768,4.0
Orangutan,0.2905603826967779,4.0
Oryx,0.3664392045565618,3.6666666666666665
Otter,0.24696788906568465,4.0
PalmSquirrel,0.24466218460217598,4.0
Pecari,0.33707838667460244,4.0
Pkuhlii,0.36859975603295503,5.0
Porcine,0.27595351191040807,4.0
Porcupine,0.16739306540066445,4.0
PrairieDog,0.21682776793164976,4.0
PteropusLylei,0.2389176547040238,5.0
Rabbit,0.2305061944257783,4.0
Rat,0.2353924283606279,3.6666666666666665
RedKangaroo,0.22647786729157934,2.6666666666666665
RedNeckWallaby,0.19260935673967844,2.0
RedPanda,0.3259068569869675,3.0
Rhinolophus,0.43310389122974013,3.0
Rhinopoma,0.2719780913146168,4.0
SandCat,0.29029232017887385,3.5
SandHedgeHog,0.2568629344600373,4.0
Sheep,0.3363539341620739,4.0
Siamang,0.3142414781209733,4.0
SkinnyPig,0.26558274917701585,3.0
SpinyMouse,0.24398452200725837,3.0
SquirrelMonkey,0.23272739636261566,3.0
StrippedDolphin,0.2804122009357495,4.5
SturniraLilium,0.30276629897921564,4.0
TadaridaTeniotis,0.2859624043643626,4.0
TamarinCottonTop,0.17558579602590446,3.5
TamarinEmperor,0.18751607462889974,3.5
TamarinGoldenHands,0.24805891513824463,4.0
Tapir,0.2890301196268465,3.5
ThomsonGazelle,0.3054992169113503,4.0
Tiger,0.3162877769699106,4.0
VampireBat,0.2959168403248167,3.5
Vervet,0.2656681346964916,3.0
Vole,0.22699865360808805,3.0
WildBoar,0.3052060496895189,4.0
WildRabbit,0.1924202506446877,3.6666666666666665
WildRat,0.1871270107284514,4.0
Wilderbeest,0.329126014576232,3.0
Wolf,0.27787422862093886,4.0
Zebra,0.330912212578607,3.0
