Species,Brain Mass,Order,Beta,Alpha,GI,
Addax,220,Artiodactyla,0.11,1.24179071,2.247578668,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Agouti,21.26,Rodentia,0.07,1.000269898,1.238929596,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.00, β=0.07. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Armadillo,7.54,Other,0.1,1.087169496,1.330559784,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
ArtibeusJamacien,0.93,Chiroptera,0.08,1.206987049,1.2,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Asellia,0.5,Chiroptera,0.08,1.206987049,1.141879327,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
AsianOtter,35,Carnivora,0.1,1.087169496,1.551329541,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Baboon,148,Primates,,,2,"Measured GI = 2.00 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
BactrianDeer,200,Artiodactyla,0.11,1.24179071,2.224137877,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Battongia,3.75,Other,0.1,1.087169496,1.240796001,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
BlanfordFox,40,Other,0.1,1.087169496,1.572183584,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
BlindMole,3,Other,0.1,1.087169496,1.213415068,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
BottleNoseDolphin,1600,Other,,,4.3,"Measured GI = 4.30 from Sun & Hevner (2014), DOI:10.1038/nrn3707"
BrownLemur,25,Primates,,,1.5,"Measured GI = 1.50 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
CapraNubiana,120,Other,0.1,1.087169496,1.754750532,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Capuchin,62.6,Primates,,,1.6,"Measured GI = 1.60 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
Capybara,75,Other,0.1,1.087169496,1.674184761,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
